Lab,Sex,Total,Repeats,Repeat%,Saved,Saved%,FN,FNR%,ECE,MCE,ROC_AUC,BSS_%,Base_Stability_%,Instability_%,Brier_Baseline,Brier_Model,MAE,mean_val,RMSE,SMAPE_med%,SMAPE_mean%,NRMSE%
ALT,--,3994,3994,100.0,3588,89.8,712,17.83,0.013,0.1016,0.8866,39.0,83.1,16.9,0.1404,0.0856,15.5183,46.88633,96.4696,16.7,23.5,205.8
GGT,--,2069,2069,100.0,1141,55.1,332,16.05,0.0349,0.0831,0.8657,38.9,58.4,41.6,0.243,0.1485,32.8598,158.79507,82.0452,14.6,21.5,51.7
Alkaline_Phosphatase,--,4129,4129,100.0,3266,79.1,1017,24.63,0.0239,0.9304,0.7977,23.8,70.0,30.0,0.2098,0.1599,19.1029,127.89198,40.567,9.7,13.4,31.7
Bilirubin_total,--,3982,3982,100.0,3599,90.4,789,19.81,0.0249,0.6465,0.7982,23.8,82.0,18.0,0.1476,0.1125,0.2263,0.94741,0.5532,18.7,24.3,58.4
Bilirubin_direct,--,680,680,100.0,451,66.3,179,26.32,0.0536,0.4286,0.7831,22.7,52.9,47.1,0.2491,0.1925,0.3618,1.15907,0.7531,26.8,37.3,65.0
Bilirubin_neonatal,--,11,11,100.0,11,100.0,2,18.18,,,,4.3,90.9,9.1,0.0826,0.0791,1.1727,4.31818,1.5774,28.6,26.7,36.5
Amylase,--,379,379,100.0,298,78.6,130,34.3,0.0974,0.2433,0.7592,15.5,57.3,42.7,0.2447,0.2068,46.6966,107.10554,148.4195,27.6,36.6,138.6
LDH,--,4081,4081,100.0,1430,35.0,622,15.24,0.0338,0.0827,0.7073,12.0,41.1,58.9,0.2421,0.2129,83.5954,315.06494,185.3373,19.3,23.8,58.8
Glucose,--,4127,4127,100.0,734,17.8,380,9.21,0.0322,0.1167,0.6871,8.1,29.8,70.2,0.209,0.1921,27.5241,122.95251,41.902,16.4,21.0,34.1
CRP,--,3878,3878,100.0,150,3.9,31,0.8,0.036,0.3824,0.8292,31.4,17.1,82.9,0.1421,0.0974,30.9208,80.42968,46.6707,48.3,61.1,58.0
Cholesterol,--,148,148,100.0,148,100.0,63,42.57,0.0978,0.3261,0.7062,1.6,76.4,23.6,0.1806,0.1777,18.9257,122.93243,26.7702,11.9,15.1,21.8
LDL,--,39,39,100.0,39,100.0,15,38.46,0.113,0.1667,0.6444,0.4,61.5,38.5,0.2367,0.2358,18.5641,85.25641,28.5172,15.2,22.3,33.4
HDL,M,33,33,100.0,33,100.0,1,3.03,0.1281,0.4167,0.9839,18.9,93.9,6.1,0.0569,0.0462,7.303,37.60606,9.959,18.6,23.6,26.5
HDL,F,16,16,100.0,16,100.0,3,18.75,0.1302,0.1894,,-20.1,75.0,25.0,0.1875,0.2252,10.4375,52.8125,14.5409,17.4,24.0,27.5
Triglycerides,--,59,59,100.0,40,67.8,11,18.64,0.1059,0.6,0.7661,17.8,59.3,40.7,0.2413,0.1983,163.0678,252.57627,362.6675,32.3,47.7,143.6
Iron,--,36,36,100.0,36,100.0,12,33.33,0.0403,0.0962,0.7517,12.6,66.7,33.3,0.2222,0.1942,30.0833,60.52778,46.8772,34.7,47.0,77.4
Transferrin,--,38,38,100.0,38,100.0,12,31.58,0.101,0.1364,0.5892,-1.4,65.8,34.2,0.2251,0.2281,28.5789,191.36842,36.7015,11.9,16.8,19.2
Ferritin,M,30,30,100.0,21,70.0,7,23.33,0.1286,0.25,0.7153,6.2,60.0,40.0,0.24,0.2252,279.3733,749.66667,505.318,33.6,41.0,67.4
Ferritin,F,23,23,100.0,6,26.1,5,21.74,0.2667,0.5594,0.3214,-21.9,39.1,60.9,0.2382,0.2902,231.2783,576.88261,336.3641,71.6,73.5,58.3
Vitamin_B12,--,41,41,100.0,41,100.0,5,12.2,0.1565,0.1857,0.6357,-16.9,85.4,14.6,0.1249,0.146,137.7317,460.95122,176.2564,25.6,32.5,38.2
Folate,--,31,31,100.0,24,77.4,2,6.45,0.0486,0.5,0.7967,24.3,80.6,19.4,0.1561,0.1181,2.8419,9.14516,4.368,22.6,29.0,47.8
TSH,--,94,94,100.0,74,78.7,24,25.53,0.1017,0.4169,0.7192,13.4,57.4,42.6,0.2445,0.2118,3.1957,6.30213,9.0945,39.4,46.6,144.3
Troponin_I_HS,--,561,561,100.0,259,46.2,104,18.54,0.0277,0.3103,0.9058,47.5,34.4,65.6,0.2257,0.1184,595.9246,788.66738,2283.5507,46.9,62.9,289.5
CPK,M,859,859,100.0,609,70.9,113,13.15,0.0255,0.1016,0.883,47.9,66.4,33.6,0.2232,0.1163,127.0384,274.22352,562.0565,29.0,38.1,205.0
CPK,F,664,664,100.0,538,81.0,82,12.35,0.0289,0.2727,0.8961,49.8,73.5,26.5,0.1948,0.0979,98.5828,204.52259,549.2963,27.6,36.9,268.6
pCO2,--,417,417,100.0,1,0.2,1,0.24,0.0844,0.7778,0.4605,-6.6,32.9,67.1,0.2206,0.2351,6.3357,47.91199,8.0842,10.9,13.3,16.9
pO2,--,416,416,100.0,214,51.4,111,26.68,0.0753,0.2788,0.6985,11.7,40.6,59.4,0.2412,0.2129,14.1524,53.80433,25.6304,17.5,23.1,47.6
Calcium_ionized,--,464,464,100.0,461,99.4,154,33.19,0.0443,0.3462,0.6195,3.6,70.7,29.3,0.2072,0.1997,0.0387,1.14991,0.0592,2.6,3.4,5.1
O2_saturation,--,466,466,100.0,0,0.0,0,0.0,0.0483,1.0,0.5321,-0.0,24.5,75.5,0.1848,0.1848,8.7324,80.22082,9.7834,10.8,10.8,12.2
Oxyhemoglobin,--,459,459,100.0,0,0.0,0,0.0,0.1156,1.0,0.5026,-2.7,26.8,73.2,0.1962,0.2014,8.8046,79.69041,9.7904,11.3,11.0,12.3
Deoxyhemoglobin,--,455,455,100.0,0,0.0,0,0.0,0.0352,0.5,0.5289,-0.0,28.1,71.9,0.2022,0.2022,8.7646,19.77209,9.8452,37.5,53.1,49.8
Carboxyhemoglobin,--,465,465,100.0,180,38.7,86,18.49,0.04,1.0,0.621,3.7,49.2,50.8,0.2499,0.2408,0.3602,0.86022,0.5238,40.0,48.2,60.9
Methemoglobin,M,284,284,100.0,253,89.1,30,10.56,0.0432,0.2273,0.8063,44.8,76.1,23.9,0.1821,0.1006,0.1349,0.29648,0.3015,0.0,45.3,101.7
Methemoglobin,F,186,186,100.0,178,95.7,24,12.9,0.039,0.5,0.8082,32.7,78.5,21.5,0.1688,0.1136,0.1065,0.31129,0.2456,0.0,35.8,78.9
