Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
Folate,--,0.99,19,1,61.3,16.7,0.0486,0.5,0.7967,24.3,0.1181,19.4
TSH,--,0.5,74,24,78.7,60.0,0.1194,0.4169,0.6856,6.9,0.2276,42.6
TSH,--,0.625,54,14,57.4,35.0,0.1194,0.4169,0.6856,6.9,0.2276,42.6
TSH,--,0.75,53,14,56.4,35.0,0.1194,0.4169,0.6856,6.9,0.2276,42.6
TSH,--,0.875,23,7,24.5,17.5,0.1017,0.4169,0.7192,13.4,0.2118,42.6
TSH,--,0.99,5,2,5.3,5.0,0.1017,0.4169,0.7192,13.4,0.2118,42.6
Troponin_I_HS,--,0.5,259,104,46.2,27.9,0.0726,0.3536,0.8768,36.0,0.1426,65.6
Troponin_I_HS,--,0.625,164,40,29.2,10.8,0.0447,0.3353,0.8897,42.5,0.1287,65.6
Troponin_I_HS,--,0.75,72,4,12.8,1.1,0.0277,0.3103,0.9058,47.5,0.1184,65.6
Troponin_I_HS,--,0.875,72,4,12.8,1.1,0.0277,0.3103,0.9058,47.5,0.1184,65.6
Troponin_I_HS,--,0.99,0,0,0.0,0.0,0.0277,0.3103,0.9058,47.5,0.1184,65.6
CPK,M,0.5,609,113,70.9,36.5,0.0377,0.1441,0.8627,41.1,0.1357,33.6
CPK,M,0.625,559,79,65.1,26.7,0.033,0.1158,0.8581,40.6,0.1341,33.6
CPK,M,0.75,511,61,59.5,20.6,0.0341,0.1309,0.8577,40.7,0.1339,33.6
CPK,M,0.875,453,51,52.7,17.4,0.0303,0.1137,0.8604,41.7,0.1311,33.6
CPK,M,0.99,0,0,0.0,0.0,0.0255,0.1016,0.883,47.9,0.1163,33.6
CPK,F,0.5,538,82,81.0,44.8,0.0367,0.232,0.8673,42.9,0.1139,26.5
CPK,F,0.625,474,53,71.4,29.8,0.0377,0.232,0.8662,43.5,0.1109,26.5
CPK,F,0.75,431,39,64.9,22.0,0.039,0.232,0.8686,44.6,0.1084,26.5
CPK,F,0.875,376,31,56.6,17.5,0.0396,0.232,0.8694,45.0,0.1075,26.5
CPK,F,0.99,9,0,1.4,0.0,0.0289,0.2727,0.8961,49.8,0.0979,26.5
pCO2,--,0.5,1,1,0.2,0.4,0.086,0.7778,0.4575,-6.8,0.2355,67.1
pCO2,--,0.625,1,1,0.2,0.4,0.086,0.7778,0.4575,-6.8,0.2355,67.1
pCO2,--,0.75,1,1,0.2,0.4,0.086,0.7778,0.4575,-6.8,0.2355,67.1
pCO2,--,0.875,0,0,0.0,0.0,0.0844,0.7778,0.4605,-6.6,0.2351,67.1
pCO2,--,0.99,0,0,0.0,0.0,0.0844,0.7778,0.4605,-6.6,0.2351,67.1
pO2,--,0.5,214,111,51.4,44.4,0.1041,0.4167,0.641,2.6,0.2335,59.4
pO2,--,0.625,87,47,20.9,17.9,0.0977,0.2788,0.6636,4.0,0.2237,59.4
pO2,--,0.75,4,1,1.0,0.4,0.0733,0.2788,0.7013,11.9,0.2125,59.4
pO2,--,0.875,1,0,0.2,0.0,0.0753,0.2788,0.6985,11.7,0.2129,59.4
pO2,--,0.99,0,0,0.0,0.0,0.0753,0.2788,0.6985,11.7,0.2129,59.4
Calcium_ionized,--,0.5,461,154,99.4,99.4,0.0597,0.8462,0.6497,5.6,0.2101,29.3
Calcium_ionized,--,0.625,310,69,66.8,57.0,0.0503,0.5128,0.6344,3.3,0.1864,29.3
Calcium_ionized,--,0.75,174,22,37.5,22.4,0.0929,0.3462,0.6413,-0.9,0.1681,29.3
Calcium_ionized,--,0.875,0,0,0.0,0.0,0.0831,0.3462,0.6563,1.4,0.1667,29.3
Calcium_ionized,--,0.99,0,0,0.0,0.0,0.0831,0.3462,0.6563,1.4,0.1667,29.3
O2_saturation,--,0.5,0,0,0.0,0.0,0.0483,1.0,0.5321,-0.0,0.1848,75.5
O2_saturation,--,0.625,0,0,0.0,0.0,0.0483,1.0,0.5321,-0.0,0.1848,75.5
O2_saturation,--,0.75,0,0,0.0,0.0,0.0483,1.0,0.5321,-0.0,0.1848,75.5
O2_saturation,--,0.875,0,0,0.0,0.0,0.0483,1.0,0.5321,-0.0,0.1848,75.5
O2_saturation,--,0.99,0,0,0.0,0.0,0.0483,1.0,0.5321,-0.0,0.1848,75.5
Oxyhemoglobin,--,0.5,0,0,0.0,0.0,0.1156,1.0,0.5026,-2.7,0.2014,73.2
Oxyhemoglobin,--,0.625,0,0,0.0,0.0,0.1156,1.0,0.5026,-2.7,0.2014,73.2
Oxyhemoglobin,--,0.75,0,0,0.0,0.0,0.1156,1.0,0.5026,-2.7,0.2014,73.2
Oxyhemoglobin,--,0.875,0,0,0.0,0.0,0.1156,1.0,0.5026,-2.7,0.2014,73.2
Oxyhemoglobin,--,0.99,0,0,0.0,0.0,0.1156,1.0,0.5026,-2.7,0.2014,73.2
Deoxyhemoglobin,--,0.5,0,0,0.0,0.0,0.0352,0.5,0.5289,-0.0,0.2022,71.9
Deoxyhemoglobin,--,0.625,0,0,0.0,0.0,0.0352,0.5,0.5289,-0.0,0.2022,71.9
Deoxyhemoglobin,--,0.75,0,0,0.0,0.0,0.0352,0.5,0.5289,-0.0,0.2022,71.9
Deoxyhemoglobin,--,0.875,0,0,0.0,0.0,0.0352,0.5,0.5289,-0.0,0.2022,71.9
Deoxyhemoglobin,--,0.99,0,0,0.0,0.0,0.0352,0.5,0.5289,-0.0,0.2022,71.9
Carboxyhemoglobin,--,0.5,180,86,38.7,34.3,0.0497,1.0,0.5786,0.8,0.2465,50.8
Carboxyhemoglobin,--,0.625,24,7,5.2,3.0,0.0414,1.0,0.6146,3.1,0.2422,50.8
Carboxyhemoglobin,--,0.75,24,7,5.2,3.0,0.0414,1.0,0.6146,3.1,0.2422,50.8
Carboxyhemoglobin,--,0.875,0,0,0.0,0.0,0.04,1.0,0.621,3.7,0.2408,50.8
Carboxyhemoglobin,--,0.99,0,0,0.0,0.0,0.04,1.0,0.621,3.7,0.2408,50.8
Methemoglobin,M,0.5,253,30,89.1,53.6,0.041,0.2759,0.7002,30.3,0.1104,23.9
Methemoglobin,M,0.625,253,30,89.1,53.6,0.041,0.2759,0.7002,30.3,0.1104,23.9
Methemoglobin,M,0.75,244,31,85.9,54.4,0.0418,0.2759,0.6942,29.9,0.1125,23.9
Methemoglobin,M,0.875,100,13,35.2,19.7,0.0469,0.2759,0.7612,39.9,0.1073,23.9
Methemoglobin,M,0.99,0,0,0.0,0.0,0.0432,0.2273,0.8063,44.8,0.1006,23.9
Methemoglobin,F,0.5,178,24,95.7,75.0,0.0612,0.6849,0.7063,26.7,0.1045,21.5
Methemoglobin,F,0.625,177,23,95.2,71.9,0.0445,0.5,0.6925,24.5,0.1076,21.5
Methemoglobin,F,0.75,177,23,95.2,71.9,0.0445,0.5,0.6925,24.5,0.1076,21.5
Methemoglobin,F,0.875,122,13,65.6,41.9,0.0475,0.5,0.6966,25.6,0.1034,21.5
Methemoglobin,F,0.99,0,0,0.0,0.0,0.0515,0.5,0.8347,36.4,0.1013,21.5
