Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
RBC,F,0.5,675,367,97.8,97.6,0.1963,0.8,0.6776,-9.4,0.2713,34.9
RBC,F,0.625,568,267,82.3,80.4,0.1494,0.8,0.6174,-6.1,0.265,34.9
RBC,F,0.75,19,7,2.8,2.9,0.0636,0.2098,0.6048,2.8,0.2218,34.9
RBC,F,0.875,0,0,0.0,0.0,0.0643,0.2,0.6063,3.0,0.2205,34.9
RBC,F,0.99,0,0,0.0,0.0,0.0643,0.2,0.6063,3.0,0.2205,34.9
MCV,--,0.5,1614,223,100.0,100.0,0.1076,0.1077,0.7949,-5.5,0.1257,3.2
MCV,--,0.625,1614,223,100.0,100.0,0.1076,0.1077,0.7949,-5.5,0.1257,3.2
MCV,--,0.75,1614,223,100.0,100.0,0.1076,0.1077,0.7949,-5.5,0.1257,3.2
MCV,--,0.875,1614,223,100.0,100.0,0.1076,0.1077,0.7949,-5.5,0.1257,3.2
MCV,--,0.99,555,5,34.4,10.0,0.0096,0.1091,0.6881,0.8,0.0298,3.2
RDW,--,0.5,1639,488,100.0,100.0,0.1707,0.5714,0.7922,-0.2,0.2096,10.1
RDW,--,0.625,1635,480,99.8,99.6,0.1678,0.3343,0.7852,-1.1,0.2098,10.1
RDW,--,0.75,1527,406,93.2,92.1,0.1515,0.3025,0.7487,-2.7,0.202,10.1
RDW,--,0.875,1119,112,68.3,44.6,0.0721,0.1848,0.6782,0.7,0.1287,10.1
RDW,--,0.99,73,0,4.5,0.0,0.0317,0.1848,0.739,4.8,0.0867,10.1
Reticulo_abs,--,0.5,67,22,98.5,95.7,0.0551,0.1739,0.5763,4.3,0.2142,26.5
Reticulo_abs,--,0.625,67,22,98.5,95.7,0.0551,0.1739,0.5763,4.3,0.2142,26.5
Reticulo_abs,--,0.75,8,1,11.8,5.9,0.0876,0.75,0.5675,-6.4,0.1995,26.5
Reticulo_abs,--,0.875,0,0,0.0,0.0,0.0748,0.75,0.5572,-5.9,0.2062,26.5
Reticulo_abs,--,0.99,0,0,0.0,0.0,0.0748,0.75,0.5572,-5.9,0.2062,26.5
PLT,--,0.5,1645,579,99.8,99.7,0.1075,0.1654,0.7476,11.2,0.2027,13.0
PLT,--,0.625,1463,405,88.8,85.3,0.0693,1.0,0.7157,9.3,0.1862,13.0
PLT,--,0.75,1117,174,67.8,50.9,0.0447,1.0,0.6861,4.2,0.1575,13.0
PLT,--,0.875,810,70,49.2,25.9,0.0367,1.0,0.6786,1.3,0.1352,13.0
PLT,--,0.99,0,0,0.0,0.0,0.033,1.0,0.7162,1.8,0.1114,13.0
MPV,--,0.5,1646,295,100.0,100.0,0.1272,0.5171,0.754,-4.7,0.154,4.4
MPV,--,0.625,1646,295,100.0,100.0,0.1272,0.5171,0.754,-4.7,0.154,4.4
MPV,--,0.75,1646,295,100.0,100.0,0.1272,0.5171,0.754,-4.7,0.154,4.4
MPV,--,0.875,1624,236,98.7,97.1,0.0982,0.1421,0.6886,-4.5,0.1316,4.4
MPV,--,0.99,403,10,24.5,12.7,0.0078,0.4591,0.6421,5.5,0.0432,4.4
Sodium,--,0.5,2991,1194,72.9,65.4,0.0298,0.4109,0.6199,2.8,0.24,39.0
Sodium,--,0.625,1923,645,46.8,37.9,0.0268,0.4156,0.6136,2.1,0.2378,39.0
Sodium,--,0.75,159,35,3.9,2.2,0.0235,0.4069,0.634,3.4,0.2297,39.0
Sodium,--,0.875,156,35,3.8,2.2,0.0235,0.4069,0.634,3.4,0.2297,39.0
Sodium,--,0.99,156,35,3.8,2.2,0.0235,0.4069,0.634,3.4,0.2297,39.0
Potassium,--,0.5,3799,1112,92.7,85.5,0.0367,0.0866,0.6609,7.1,0.2012,24.3
Potassium,--,0.625,3365,875,82.1,71.8,0.0338,0.11,0.6558,6.7,0.1949,24.3
Potassium,--,0.75,2343,444,57.2,41.4,0.0328,0.1349,0.6547,6.7,0.1802,24.3
Potassium,--,0.875,0,0,0.0,0.0,0.018,0.0885,0.6819,9.4,0.1659,24.3
Potassium,--,0.99,0,0,0.0,0.0,0.018,0.0885,0.6819,9.4,0.1659,24.3
Chloride,--,0.5,4019,1322,99.1,98.7,0.0852,0.191,0.7182,8.7,0.2019,16.9
Chloride,--,0.625,3733,981,92.1,87.6,0.0542,0.192,0.6539,4.3,0.1913,16.9
Chloride,--,0.75,2667,482,65.8,56.0,0.0289,0.2065,0.6147,2.1,0.1638,16.9
Chloride,--,0.875,1230,112,30.3,15.5,0.0291,0.2467,0.6414,2.6,0.1429,16.9
Chloride,--,0.99,1,0,0.0,0.0,0.0222,0.2467,0.6585,3.6,0.1354,16.9
Calcium,--,0.5,3961,1214,99.3,98.5,0.1074,1.0,0.6687,2.1,0.209,18.8
Calcium,--,0.625,3821,1065,95.8,92.8,0.0951,1.0,0.6309,-0.7,0.2064,18.8
Calcium,--,0.75,3517,889,88.2,83.3,0.0851,1.0,0.6131,-1.0,0.198,18.8
Calcium,--,0.875,525,78,13.2,10.3,0.0232,1.0,0.6245,2.9,0.149,18.8
Calcium,--,0.99,0,0,0.0,0.0,0.0177,1.0,0.6407,3.7,0.1453,18.8
Magnesium,--,0.5,3850,1095,94.8,89.7,0.0623,0.5,0.6545,4.9,0.2,26.5
Magnesium,--,0.625,3792,1063,93.4,88.3,0.0622,1.0,0.6458,4.0,0.2002,26.5
Magnesium,--,0.75,1931,306,47.5,32.5,0.0263,0.25,0.6439,5.8,0.1679,26.5
Magnesium,--,0.875,0,0,0.0,0.0,0.0469,0.1667,0.6692,7.1,0.1543,26.5
Magnesium,--,0.99,0,0,0.0,0.0,0.0469,0.1667,0.6692,7.1,0.1543,26.5
Phosphorus,--,0.5,4083,1010,99.9,99.6,0.0719,0.4286,0.7328,10.2,0.1675,15.4
Phosphorus,--,0.625,3849,813,94.2,88.5,0.0585,0.9689,0.6958,5.9,0.1639,15.4
Phosphorus,--,0.75,3527,618,86.3,74.6,0.0459,0.9793,0.6603,2.9,0.1568,15.4
Phosphorus,--,0.875,2739,367,67.0,50.1,0.034,0.9793,0.6521,3.2,0.1424,15.4
Phosphorus,--,0.99,3,0,0.1,0.0,0.0138,0.9793,0.6834,5.9,0.1222,15.4
Osmolality,--,0.5,2978,1339,84.8,82.6,0.0576,0.3135,0.6212,3.2,0.2406,37.9
Osmolality,--,0.625,1762,592,50.2,42.0,0.0146,0.3799,0.5957,2.3,0.2346,37.9
Osmolality,--,0.75,4,1,0.1,0.1,0.0116,0.3799,0.6093,3.2,0.2279,37.9
Osmolality,--,0.875,0,0,0.0,0.0,0.0113,0.3799,0.6095,3.2,0.2279,37.9
Osmolality,--,0.99,0,0,0.0,0.0,0.0113,0.3799,0.6095,3.2,0.2279,37.9
Creatinine,--,0.5,2590,1083,63.7,58.4,0.1295,0.2022,0.5934,-4.0,0.258,36.3
Creatinine,--,0.625,2486,1019,61.1,55.7,0.1275,0.1931,0.5933,-4.1,0.2576,36.3
Creatinine,--,0.75,706,156,17.4,10.2,0.0646,0.1941,0.616,0.1,0.2342,36.3
Creatinine,--,0.875,0,0,0.0,0.0,0.0714,0.8,0.6381,1.7,0.2272,36.3
Creatinine,--,0.99,0,0,0.0,0.0,0.0714,0.8,0.6381,1.7,0.2272,36.3
Urea,--,0.5,0,0,0.0,0.0,0.031,0.4286,0.5382,-0.0,0.1889,74.7
Urea,--,0.625,0,0,0.0,0.0,0.031,0.4286,0.5382,-0.0,0.1889,74.7
Urea,--,0.75,0,0,0.0,0.0,0.031,0.4286,0.5382,-0.0,0.1889,74.7
Urea,--,0.875,0,0,0.0,0.0,0.031,0.4286,0.5382,-0.0,0.1889,74.7
Urea,--,0.99,0,0,0.0,0.0,0.031,0.4286,0.5382,-0.0,0.1889,74.7
Uric_acid,--,0.5,3567,1134,91.4,85.8,0.0716,0.1852,0.7223,9.7,0.2022,20.4
Uric_acid,--,0.625,3220,894,82.5,73.2,0.0605,0.1461,0.7019,8.0,0.1979,20.4
Uric_acid,--,0.75,2340,422,60.0,42.5,0.0314,0.0662,0.6726,6.3,0.1777,20.4
Uric_acid,--,0.875,1168,111,29.9,13.2,0.023,0.0851,0.6804,6.4,0.1579,20.4
Uric_acid,--,0.99,6,1,0.2,0.1,0.0181,0.09,0.6921,7.0,0.1501,20.4
Albumin,--,0.5,3912,1400,99.8,99.4,0.134,0.4167,0.6722,0.6,0.2288,16.3
Albumin,--,0.625,3778,1235,96.4,93.6,0.119,0.4167,0.6425,-0.5,0.2245,16.3
Albumin,--,0.75,2909,733,74.2,68.2,0.077,0.4167,0.6107,0.6,0.1979,16.3
Albumin,--,0.875,1511,154,38.5,21.6,0.019,0.4167,0.6687,5.7,0.1402,16.3
Albumin,--,0.99,26,0,0.7,0.0,0.0191,0.3826,0.7088,7.9,0.1259,16.3
Protein_total,--,0.5,3056,1428,75.2,69.9,0.0733,0.2439,0.5969,1.0,0.2476,39.2
Protein_total,--,0.625,2048,774,50.4,43.2,0.0439,0.0772,0.6053,3.3,0.2384,39.2
