epoch,train_loss,val_loss
1,0.4338102056328531,0.310136807535557
2,0.3591175478593245,0.3008380894648267
3,0.3958032111950678,0.2896530286428776
4,0.3287024235449978,0.2937200398204174
5,0.3866110400518912,0.2864131964267568
6,0.333520142046667,0.2900511137982632
7,0.3385201352773496,0.2839383108818785
8,0.339154853186854,0.2836158702665187
9,0.3264767147694813,0.2811271298121898
10,0.3410992348599019,0.2805310148825036
11,0.3180638381043128,0.2848841667809385
12,0.354401969914376,0.2829252446902559
13,0.3604143323173737,0.2860953631553244
14,0.3400172076907485,0.2829440398102111
15,0.3335023327049392,0.2818026624778483
16,0.2835280614512226,0.2897534681444472
17,0.2933774519223266,0.2820715915966541
18,0.3272691761595189,0.2902970964921281
19,0.2983967465764915,0.2805670527701682
20,0.3037184922415969,0.2926580184000604
