Lab,Threshold,Total,Repeats,Repeat%,Saved,Saved%,FN,FNR%,FN_per_total%,FN_among_cancelled%,ECE,MCE,ROC_AUC,BSS_%,Base_Stability_%,Instability_%,Brier_Baseline,Brier_Model,MAE,mean_val,RMSE,SMAPE_med%,SMAPE_mean%,NRMSE%
LDL,0.85,56,56,100.0,5,8.93,1,7.14,1.79,20.0,0.1095,0.3325,0.5034,-7.3,75.0,25.0,0.1875,0.2011,14.3893,74.92857,21.7133,15.7,22.0,29.0
Lactate,0.85,470,470,100.0,0,0.0,0,0.0,0.0,0.0,0.0037,0.0037,0.5465,0.3,7.4,92.6,0.0689,0.0687,5.4895,16.82766,8.6687,22.9,29.0,51.5
Lympho_abs,0.85,1323,1323,100.0,1109,83.82,96,52.75,7.26,8.66,0.0128,0.1025,0.7484,21.1,86.2,13.8,0.1186,0.0936,0.7496,1.95581,3.4325,22.9,29.2,175.5
MCV,0.85,1320,1320,100.0,1300,98.48,151,94.97,11.44,11.62,0.0952,0.4792,0.8206,-3.2,88.0,12.0,0.1059,0.1093,1.4595,88.26142,2.1569,1.2,1.7,2.4
MPV,0.85,1323,1323,100.0,1279,96.67,100,78.12,7.56,7.82,0.0336,0.7707,0.7193,8.9,90.3,9.7,0.0874,0.0796,0.4159,8.87622,0.5689,3.6,4.7,6.4
Magnesium,0.85,4921,4921,100.0,63,1.28,13,1.03,0.26,20.63,0.0124,0.1746,0.6479,8.1,74.4,25.6,0.1903,0.1749,0.1421,1.98718,0.2052,5.4,7.2,10.3
Methemoglobin,0.85,475,475,100.0,379,79.79,38,50.0,8.0,10.03,0.0381,0.8,0.7038,16.5,84.0,16.0,0.1344,0.1122,0.1381,0.29768,0.2686,25.2,47.8,90.2
Mono_abs,0.85,1319,1319,100.0,207,15.69,30,8.75,2.27,14.49,0.0264,0.35,0.6714,8.8,74.0,26.0,0.1924,0.1755,0.2296,0.72631,0.9153,22.1,31.6,126.0
NRBC_abs,0.85,1297,1297,100.0,1139,87.82,138,69.35,10.64,12.12,0.0366,0.5367,0.6261,9.8,84.7,15.3,0.1299,0.1171,0.0168,0.01985,0.0904,200.0,147.0,455.5
Neutro_abs,0.85,1327,1327,100.0,4,0.3,1,0.25,0.08,25.0,0.016,0.2882,0.6237,5.2,69.8,30.2,0.2109,0.2,2.0209,7.03599,3.3241,21.9,31.3,47.2
O2_saturation,0.85,475,475,100.0,0,0.0,0,0.0,0.0,0.0,0.0231,0.0231,0.5954,-0.5,4.6,95.4,0.0442,0.0444,14.6474,71.57347,19.0647,14.4,22.6,26.6
Osmolality,0.85,4779,4779,100.0,3,0.06,0,0.0,0.0,0.0,0.014,0.25,0.5802,2.5,62.7,37.3,0.2338,0.2279,5.2273,295.84704,8.4193,1.3,1.8,2.8
Oxyhemoglobin,0.85,469,469,100.0,0,0.0,0,0.0,0.0,0.0,0.0271,0.081,0.5799,-0.8,5.8,94.2,0.0543,0.0547,14.6808,70.75309,18.8736,15.2,22.8,26.7
PLT,0.85,1326,1326,100.0,630,47.51,66,27.85,4.98,10.48,0.0209,0.1667,0.6763,10.7,82.1,17.9,0.1468,0.1311,36.1472,215.43665,56.4447,12.4,20.3,26.2
Phosphorus,0.85,4939,4939,100.0,2421,49.02,261,30.21,5.28,10.78,0.0088,0.1154,0.6676,7.6,82.5,17.5,0.1443,0.1333,0.5676,3.50878,0.8443,12.4,16.2,24.1
Potassium,0.85,4947,4947,100.0,1100,22.24,166,12.71,3.36,15.09,0.015,0.3125,0.6938,13.6,73.6,26.4,0.1943,0.1678,0.3331,4.17799,0.4467,6.4,8.0,10.7
Protein_total,0.85,4936,4936,100.0,1,0.02,0,0.0,0.0,0.0,0.0125,0.0581,0.6756,9.2,60.5,39.5,0.2391,0.217,0.3718,5.95557,0.4885,5.0,6.3,8.2
RBC,0.85,1317,1317,100.0,0,0.0,0,0.0,0.0,0.0,0.0176,0.3587,0.5716,1.3,39.6,60.4,0.2391,0.236,0.3903,3.42194,0.5229,9.6,11.8,15.3
RDW,0.85,1325,1325,100.0,989,74.64,112,50.68,8.45,11.32,0.0688,0.1914,0.6942,2.7,83.3,16.7,0.139,0.1352,0.6057,17.32715,1.0003,2.2,3.3,5.8
Reticulo_abs,0.85,66,66,100.0,6,9.09,1,5.56,1.52,16.67,0.1284,0.8,0.5764,-11.1,72.7,27.3,0.1983,0.2203,20.8291,63.01682,29.4015,27.7,38.7,46.7
Sodium,0.85,4972,4972,100.0,16,0.32,7,0.36,0.14,43.75,0.0154,0.3163,0.6142,4.8,61.3,38.7,0.2373,0.2258,2.2189,139.15949,3.0681,1.2,1.6,2.2
Specific_gravity,0.85,12,12,100.0,0,0.0,0,0.0,0.0,0.0,0.5553,0.5727,0.5185,-160.8,75.0,25.0,0.1875,0.489,0.003,1.01275,0.0038,0.2,0.3,0.4
TSH,0.85,150,150,100.0,6,4.0,1,1.43,0.67,16.67,0.1167,0.8287,0.6946,5.1,53.3,46.7,0.2489,0.2362,2.0563,6.43207,4.102,38.4,49.6,63.8
Transferrin,0.85,34,34,100.0,9,26.47,1,10.0,2.94,11.11,0.0527,0.1667,0.6875,7.1,70.6,29.4,0.2076,0.1928,26.8856,185.91176,35.1275,12.1,15.1,18.9
Triglycerides,0.85,62,62,100.0,1,1.61,0,0.0,0.0,0.0,0.0372,0.4444,0.6149,3.8,75.8,24.2,0.1834,0.1764,69.833,122.41935,201.2928,27.4,30.8,164.4
Troponin_I_HS,0.85,711,711,100.0,0,0.0,0,0.0,0.0,0.0,0.0232,0.1282,0.5757,2.6,38.3,61.7,0.2362,0.2301,666.9367,978.89156,2246.5426,140.0,128.2,229.5
Urea,0.85,4963,4963,100.0,0,0.0,0,0.0,0.0,0.0,0.0161,0.1131,0.5857,1.8,21.4,78.6,0.1682,0.1652,12.2743,64.35656,20.8817,14.6,19.2,32.4
Uric_acid,0.85,4852,4852,100.0,34,0.7,9,0.92,0.19,26.47,0.0086,0.1876,0.5946,3.9,79.9,20.1,0.1607,0.1545,0.7094,5.85109,1.033,9.6,13.1,17.7
Vitamin_B12,0.85,45,45,100.0,10,22.22,2,25.0,4.44,20.0,0.1213,0.238,0.4206,-11.4,82.2,17.8,0.1462,0.1629,221.7149,726.93333,394.7885,20.6,31.5,54.3
WBC,0.85,1306,1306,100.0,3,0.23,0,0.0,0.0,0.0,0.0428,0.1173,0.676,9.8,61.0,39.0,0.2378,0.2146,2.5081,10.00671,4.645,18.3,24.4,46.4
pCO2,0.85,931,931,100.0,0,0.0,0,0.0,0.0,0.0,0.0318,0.3889,0.5158,-1.2,28.5,71.5,0.2036,0.2061,6.4552,46.59441,8.8059,10.9,13.4,18.9
pH,0.85,1010,1010,100.0,0,0.0,0,0.0,0.0,0.0,0.0353,0.1089,0.5589,2.2,33.4,66.6,0.2223,0.2174,0.0985,7.34372,0.2616,0.8,1.4,3.6
pO2,0.85,930,930,100.0,0,0.0,0,0.0,0.0,0.0,0.0532,0.0944,0.6097,3.8,22.5,77.5,0.1742,0.1675,15.1564,46.72785,22.2255,25.4,31.2,47.6
