TP_keep_unstable,FN_cancel_unstable,FP_keep_stable,TN_cancel_stable,Total,Saved%,FN_among_unstable%,FN_among_cancelled%,Threshold
42133,5872,46828,36126,130959,32.06957902855092,12.232059160504114,13.981618172293919,0.8
43869,3403,58152,25535,130959,22.09699218839484,7.198764596378406,11.759624023774967,0.85
45495,1049,73723,10692,130959,8.965401385166349,2.253781368167755,8.934503023592539,0.9
46020,232,81642,3065,130959,2.517581838590704,0.5015999308138026,7.0367000303306035,0.95
