Lab,Threshold,Total,Saved,FN,Saved%,FN_per_total%,FN_among_cancelled%,MAE,SMAPE_med%,ROC_AUC
Calcium,0.85,4919,2853,391,58.0,7.95,13.7,0.3482,3.3,0.663
Calcium_ionized,0.85,471,5,2,1.1,0.42,40.0,0.0406,2.6,0.687
Carboxyhemoglobin,0.85,475,0,0,0.0,0.0,0.0,0.3515,40.1,0.5303
Chloride,0.85,4977,2441,295,49.0,5.93,12.09,2.4205,1.8,0.672
Cholesterol,0.85,160,54,4,33.8,2.5,7.41,14.1477,8.5,0.7807
Creatinine,0.85,4989,0,0,0.0,0.0,0.0,0.2358,10.7,0.7198
Deoxyhemoglobin,0.85,471,0,0,0.0,0.0,0.0,14.5339,47.0,0.5696
Eos_abs,0.85,1312,1155,160,88.0,12.2,13.85,0.099,54.1,0.6674
Ferritin,0.85,53,0,0,0.0,0.0,0.0,557.8199,95.2,0.619
Folate,0.85,45,2,0,4.4,0.0,0.0,3.9521,31.8,0.6744
GGT,0.85,2606,0,0,0.0,0.0,0.0,31.3295,20.1,0.6186
Globulin,0.85,4923,11,3,0.2,0.06,27.27,0.2328,6.7,0.6386
Glucose,0.85,4989,0,0,0.0,0.0,0.0,27.8755,16.3,0.6309
HCT,0.85,1317,25,6,1.9,0.46,24.0,2.3448,5.8,0.6169
HDL,0.85,58,13,2,22.4,3.45,15.38,4.6919,7.7,0.7244
HGB,0.85,1316,0,0,0.0,0.0,0.0,0.7604,5.6,0.6463
Iron,0.85,35,4,0,11.4,0.0,0.0,56.4805,47.0,0.6522
LDH,0.85,4910,0,0,0.0,0.0,0.0,87.9051,20.0,0.587
LDL,0.85,56,6,1,10.7,1.79,16.67,12.3109,11.6,0.7117
Lactate,0.85,470,0,0,0.0,0.0,0.0,5.1167,23.3,0.5837
Lympho_abs,0.85,1323,1090,86,82.4,6.5,7.89,0.7647,24.4,0.7239
MCV,0.85,1320,1307,151,99.0,11.44,11.55,1.4371,1.1,0.8544
MPV,0.85,1323,1290,126,97.5,9.52,9.77,0.4273,3.7,0.7497
Magnesium,0.85,4921,38,10,0.8,0.2,26.32,0.1408,5.4,0.6515
Methemoglobin,0.85,475,425,44,89.5,9.26,10.35,0.1477,20.7,0.6548
Mono_abs,0.85,1319,0,0,0.0,0.0,0.0,0.2373,21.1,0.6858
NRBC_abs,0.85,1297,1093,121,84.3,9.33,11.07,0.0166,92.9,0.7246
Neutro_abs,0.85,1327,25,3,1.9,0.23,12.0,1.9629,21.6,0.6752
O2_saturation,0.85,475,0,0,0.0,0.0,0.0,14.6991,15.4,0.576
Osmolality,0.85,4779,2,0,0.0,0.0,0.0,5.1512,1.3,0.5796
Oxyhemoglobin,0.85,469,0,0,0.0,0.0,0.0,14.6178,15.0,0.6076
PLT,0.85,1326,848,100,64.0,7.54,11.79,36.6658,13.3,0.7039
Phosphorus,0.85,4939,3307,379,67.0,7.67,11.46,0.5717,12.3,0.6816
Potassium,0.85,4947,1466,224,29.6,4.53,15.28,0.3302,6.3,0.6937
Protein_total,0.85,4936,24,4,0.5,0.08,16.67,0.3686,4.9,0.6828
RBC,0.85,1317,0,0,0.0,0.0,0.0,0.3889,8.8,0.5574
RDW,0.85,1325,997,116,75.2,8.75,11.63,0.5799,2.0,0.7299
Reticulo_abs,0.85,66,0,0,0.0,0.0,0.0,20.8946,28.5,0.5741
Sodium,0.85,4972,0,0,0.0,0.0,0.0,2.175,1.2,0.6316
Specific_gravity,0.85,12,0,0,0.0,0.0,0.0,0.0029,0.2,
