feature_code,token_type,source_table,cutoff_rule,transformation,missing_value_policy,value_column,time_column,observed_rows
Cholesterol__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Cholesterol__prior_count,t__Cholesterol__prior_count,959
Cholesterol__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Cholesterol__slope_per_day,t__Cholesterol__slope_per_day,575
Cholesterol__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Cholesterol__std_24h,t__Cholesterol__std_24h,1
Cholesterol__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Cholesterol__std_72h,t__Cholesterol__std_72h,483
Creatinine__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Creatinine__delta,t__Creatinine__delta,14519
Creatinine__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Creatinine__first_admission,t__Creatinine__first_admission,24888
Creatinine__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Creatinine__max_24h,t__Creatinine__max_24h,17517
Creatinine__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Creatinine__max_72h,t__Creatinine__max_72h,22903
Creatinine__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Creatinine__mean_24h,t__Creatinine__mean_24h,17517
Creatinine__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Creatinine__mean_72h,t__Creatinine__mean_72h,22903
Creatinine__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Creatinine__min_24h,t__Creatinine__min_24h,17517
Creatinine__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Creatinine__min_72h,t__Creatinine__min_72h,22903
Creatinine__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Creatinine__prev1,t__Creatinine__prev1,24888
Creatinine__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Creatinine__prev2,t__Creatinine__prev2,14519
Creatinine__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Creatinine__prev3,t__Creatinine__prev3,10072
Creatinine__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Creatinine__prior_count,t__Creatinine__prior_count,24888
Creatinine__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Creatinine__slope_per_day,t__Creatinine__slope_per_day,14519
Creatinine__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Creatinine__std_24h,t__Creatinine__std_24h,74
Creatinine__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Creatinine__std_72h,t__Creatinine__std_72h,9753
Deoxyhemoglobin__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Deoxyhemoglobin__delta,t__Deoxyhemoglobin__delta,1422
Deoxyhemoglobin__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Deoxyhemoglobin__first_admission,t__Deoxyhemoglobin__first_admission,2402
Deoxyhemoglobin__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Deoxyhemoglobin__max_24h,t__Deoxyhemoglobin__max_24h,1155
Deoxyhemoglobin__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Deoxyhemoglobin__max_72h,t__Deoxyhemoglobin__max_72h,1907
Deoxyhemoglobin__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Deoxyhemoglobin__mean_24h,t__Deoxyhemoglobin__mean_24h,1155
Deoxyhemoglobin__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Deoxyhemoglobin__mean_72h,t__Deoxyhemoglobin__mean_72h,1907
Deoxyhemoglobin__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Deoxyhemoglobin__min_24h,t__Deoxyhemoglobin__min_24h,1155
Deoxyhemoglobin__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Deoxyhemoglobin__min_72h,t__Deoxyhemoglobin__min_72h,1907
Deoxyhemoglobin__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Deoxyhemoglobin__prev1,t__Deoxyhemoglobin__prev1,2402
Deoxyhemoglobin__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Deoxyhemoglobin__prev2,t__Deoxyhemoglobin__prev2,1422
Deoxyhemoglobin__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Deoxyhemoglobin__prev3,t__Deoxyhemoglobin__prev3,947
Deoxyhemoglobin__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Deoxyhemoglobin__prior_count,t__Deoxyhemoglobin__prior_count,2402
Deoxyhemoglobin__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Deoxyhemoglobin__slope_per_day,t__Deoxyhemoglobin__slope_per_day,1422
Deoxyhemoglobin__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Deoxyhemoglobin__std_24h,t__Deoxyhemoglobin__std_24h,3
Deoxyhemoglobin__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Deoxyhemoglobin__std_72h,t__Deoxyhemoglobin__std_72h,667
Eos_abs__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Eos_abs__delta,t__Eos_abs__delta,4337
Eos_abs__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Eos_abs__first_admission,t__Eos_abs__first_admission,6202
Eos_abs__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Eos_abs__max_24h,t__Eos_abs__max_24h,3317
Eos_abs__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Eos_abs__max_72h,t__Eos_abs__max_72h,5095
Eos_abs__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Eos_abs__mean_24h,t__Eos_abs__mean_24h,3317
Eos_abs__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Eos_abs__mean_72h,t__Eos_abs__mean_72h,5095
Eos_abs__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Eos_abs__min_24h,t__Eos_abs__min_24h,3317
Eos_abs__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Eos_abs__min_72h,t__Eos_abs__min_72h,5095
Eos_abs__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Eos_abs__prev1,t__Eos_abs__prev1,6202
Eos_abs__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Eos_abs__prev2,t__Eos_abs__prev2,4337
Eos_abs__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Eos_abs__prev3,t__Eos_abs__prev3,3314
Eos_abs__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Eos_abs__prior_count,t__Eos_abs__prior_count,6202
Eos_abs__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Eos_abs__slope_per_day,t__Eos_abs__slope_per_day,4337
Eos_abs__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Eos_abs__std_24h,t__Eos_abs__std_24h,2
Eos_abs__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Eos_abs__std_72h,t__Eos_abs__std_72h,2418
Ferritin__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Ferritin__delta,t__Ferritin__delta,124
Ferritin__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Ferritin__first_admission,t__Ferritin__first_admission,364
Ferritin__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Ferritin__max_24h,t__Ferritin__max_24h,170
Ferritin__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Ferritin__max_72h,t__Ferritin__max_72h,257
Ferritin__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Ferritin__mean_24h,t__Ferritin__mean_24h,170
Ferritin__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Ferritin__mean_72h,t__Ferritin__mean_72h,257
Ferritin__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Ferritin__min_24h,t__Ferritin__min_24h,170
Ferritin__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Ferritin__min_72h,t__Ferritin__min_72h,257
Ferritin__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Ferritin__prev1,t__Ferritin__prev1,364
Ferritin__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Ferritin__prev2,t__Ferritin__prev2,124
Ferritin__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Ferritin__prev3,t__Ferritin__prev3,90
Ferritin__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Ferritin__prior_count,t__Ferritin__prior_count,364
Ferritin__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Ferritin__slope_per_day,t__Ferritin__slope_per_day,124
Ferritin__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Ferritin__std_24h,t__Ferritin__std_24h,1
Ferritin__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Ferritin__std_72h,t__Ferritin__std_72h,61
Folate__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Folate__delta,t__Folate__delta,35
Folate__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Folate__first_admission,t__Folate__first_admission,244
Folate__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Folate__max_24h,t__Folate__max_24h,95
Folate__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Folate__max_72h,t__Folate__max_72h,138
Folate__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Folate__mean_24h,t__Folate__mean_24h,95
Folate__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Folate__mean_72h,t__Folate__mean_72h,138
Folate__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Folate__min_24h,t__Folate__min_24h,95
Folate__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Folate__min_72h,t__Folate__min_72h,138
Folate__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Folate__prev1,t__Folate__prev1,244
Folate__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Folate__prev2,t__Folate__prev2,35
Folate__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Folate__prev3,t__Folate__prev3,12
Folate__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Folate__prior_count,t__Folate__prior_count,244
Folate__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Folate__slope_per_day,t__Folate__slope_per_day,35
Folate__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Folate__std_24h,t__Folate__std_24h,0
Folate__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Folate__std_72h,t__Folate__std_72h,8
GGT__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__GGT__delta,t__GGT__delta,7278
GGT__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__GGT__first_admission,t__GGT__first_admission,12787
GGT__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__GGT__max_24h,t__GGT__max_24h,7758
GGT__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__GGT__max_72h,t__GGT__max_72h,11069
GGT__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__GGT__mean_24h,t__GGT__mean_24h,7758
GGT__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__GGT__mean_72h,t__GGT__mean_72h,11069
GGT__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__GGT__min_24h,t__GGT__min_24h,7758
GGT__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__GGT__min_72h,t__GGT__min_72h,11069
GGT__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__GGT__prev1,t__GGT__prev1,12787
GGT__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__GGT__prev2,t__GGT__prev2,7278
GGT__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__GGT__prev3,t__GGT__prev3,5113
GGT__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__GGT__prior_count,t__GGT__prior_count,12787
GGT__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__GGT__slope_per_day,t__GGT__slope_per_day,7278
GGT__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__GGT__std_24h,t__GGT__std_24h,21
GGT__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__GGT__std_72h,t__GGT__std_72h,4077
Globulin__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Globulin__delta,t__Globulin__delta,14373
Globulin__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Globulin__first_admission,t__Globulin__first_admission,24644
Globulin__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Globulin__max_24h,t__Globulin__max_24h,17366
Globulin__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Globulin__max_72h,t__Globulin__max_72h,22703
Globulin__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Globulin__mean_24h,t__Globulin__mean_24h,17366
Globulin__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Globulin__mean_72h,t__Globulin__mean_72h,22703
Globulin__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Globulin__min_24h,t__Globulin__min_24h,17366
Globulin__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Globulin__min_72h,t__Globulin__min_72h,22703
Globulin__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Globulin__prev1,t__Globulin__prev1,24644
Globulin__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Globulin__prev2,t__Globulin__prev2,14373
Globulin__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Globulin__prev3,t__Globulin__prev3,9992
Globulin__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Globulin__prior_count,t__Globulin__prior_count,24644
Globulin__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Globulin__slope_per_day,t__Globulin__slope_per_day,14373
Globulin__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Globulin__std_24h,t__Globulin__std_24h,74
Globulin__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Globulin__std_72h,t__Globulin__std_72h,9673
Glucose__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Glucose__delta,t__Glucose__delta,14536
Glucose__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Glucose__first_admission,t__Glucose__first_admission,24918
Glucose__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Glucose__max_24h,t__Glucose__max_24h,17543
Glucose__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Glucose__max_72h,t__Glucose__max_72h,22932
Glucose__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Glucose__mean_24h,t__Glucose__mean_24h,17543
Glucose__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Glucose__mean_72h,t__Glucose__mean_72h,22932
Glucose__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Glucose__min_24h,t__Glucose__min_24h,17543
Glucose__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Glucose__min_72h,t__Glucose__min_72h,22932
Glucose__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Glucose__prev1,t__Glucose__prev1,24918
Glucose__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Glucose__prev2,t__Glucose__prev2,14536
Glucose__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Glucose__prev3,t__Glucose__prev3,10083
Glucose__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Glucose__prior_count,t__Glucose__prior_count,24918
Glucose__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Glucose__slope_per_day,t__Glucose__slope_per_day,14536
Glucose__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Glucose__std_24h,t__Glucose__std_24h,74
Glucose__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Glucose__std_72h,t__Glucose__std_72h,9771
HCT__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__HCT__delta,t__HCT__delta,4327
HCT__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__HCT__first_admission,t__HCT__first_admission,6180
HCT__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__HCT__max_24h,t__HCT__max_24h,3311
HCT__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__HCT__max_72h,t__HCT__max_72h,5093
HCT__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__HCT__mean_24h,t__HCT__mean_24h,3311
HCT__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__HCT__mean_72h,t__HCT__mean_72h,5093
HCT__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__HCT__min_24h,t__HCT__min_24h,3311
HCT__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__HCT__min_72h,t__HCT__min_72h,5093
HCT__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__HCT__prev1,t__HCT__prev1,6180
HCT__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__HCT__prev2,t__HCT__prev2,4327
HCT__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__HCT__prev3,t__HCT__prev3,3302
HCT__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__HCT__prior_count,t__HCT__prior_count,6180
HCT__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__HCT__slope_per_day,t__HCT__slope_per_day,4327
HCT__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__HCT__std_24h,t__HCT__std_24h,2
HCT__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__HCT__std_72h,t__HCT__std_72h,2417
HDL__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__HDL__delta,t__HDL__delta,22
HDL__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__HDL__first_admission,t__HDL__first_admission,279
HDL__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__HDL__max_24h,t__HDL__max_24h,179
HDL__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__HDL__max_72h,t__HDL__max_72h,219
HDL__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__HDL__mean_24h,t__HDL__mean_24h,179
HDL__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__HDL__mean_72h,t__HDL__mean_72h,219
HDL__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__HDL__min_24h,t__HDL__min_24h,179
HDL__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__HDL__min_72h,t__HDL__min_72h,219
HDL__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__HDL__prev1,t__HDL__prev1,279
HDL__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__HDL__prev2,t__HDL__prev2,22
HDL__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__HDL__prev3,t__HDL__prev3,7
HDL__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__HDL__prior_count,t__HDL__prior_count,279
HDL__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__HDL__slope_per_day,t__HDL__slope_per_day,22
HDL__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__HDL__std_24h,t__HDL__std_24h,0
HDL__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__HDL__std_72h,t__HDL__std_72h,5
HGB__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__HGB__delta,t__HGB__delta,4318
HGB__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__HGB__first_admission,t__HGB__first_admission,6173
HGB__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__HGB__max_24h,t__HGB__max_24h,3301
