feature_code,token_type,source_table,cutoff_rule,transformation,missing_value_policy,value_column,time_column,observed_rows
AST__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__AST__slope_per_day,t__AST__slope_per_day,14463
AST__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__AST__std_24h,t__AST__std_24h,69
AST__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__AST__std_72h,t__AST__std_72h,9734
Albumin__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Albumin__delta,t__Albumin__delta,14332
Albumin__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Albumin__first_admission,t__Albumin__first_admission,24578
Albumin__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Albumin__max_24h,t__Albumin__max_24h,17298
Albumin__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Albumin__max_72h,t__Albumin__max_72h,22620
Albumin__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Albumin__mean_24h,t__Albumin__mean_24h,17298
Albumin__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Albumin__mean_72h,t__Albumin__mean_72h,22620
Albumin__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Albumin__min_24h,t__Albumin__min_24h,17298
Albumin__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Albumin__min_72h,t__Albumin__min_72h,22620
Albumin__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Albumin__prev1,t__Albumin__prev1,24578
Albumin__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Albumin__prev2,t__Albumin__prev2,14332
Albumin__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Albumin__prev3,t__Albumin__prev3,9960
Albumin__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Albumin__prior_count,t__Albumin__prior_count,24578
Albumin__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Albumin__slope_per_day,t__Albumin__slope_per_day,14332
Albumin__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Albumin__std_24h,t__Albumin__std_24h,75
Albumin__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Albumin__std_72h,t__Albumin__std_72h,9641
Alkaline_Phosphatase__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Alkaline_Phosphatase__delta,t__Alkaline_Phosphatase__delta,14508
Alkaline_Phosphatase__first_admission,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,first finalized value in admission,no token when unavailable,f__Alkaline_Phosphatase__first_admission,t__Alkaline_Phosphatase__first_admission,24894
Alkaline_Phosphatase__max_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 24h,no token when unavailable,f__Alkaline_Phosphatase__max_24h,t__Alkaline_Phosphatase__max_24h,17534
Alkaline_Phosphatase__max_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,max of prior same-lab values in 72h,no token when unavailable,f__Alkaline_Phosphatase__max_72h,t__Alkaline_Phosphatase__max_72h,22933
Alkaline_Phosphatase__mean_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 24h,no token when unavailable,f__Alkaline_Phosphatase__mean_24h,t__Alkaline_Phosphatase__mean_24h,17534
Alkaline_Phosphatase__mean_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,mean of prior same-lab values in 72h,no token when unavailable,f__Alkaline_Phosphatase__mean_72h,t__Alkaline_Phosphatase__mean_72h,22933
Alkaline_Phosphatase__min_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 24h,no token when unavailable,f__Alkaline_Phosphatase__min_24h,t__Alkaline_Phosphatase__min_24h,17534
Alkaline_Phosphatase__min_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,min of prior same-lab values in 72h,no token when unavailable,f__Alkaline_Phosphatase__min_72h,t__Alkaline_Phosphatase__min_72h,22933
Alkaline_Phosphatase__prev1,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 1 value,no token when unavailable,f__Alkaline_Phosphatase__prev1,t__Alkaline_Phosphatase__prev1,24894
Alkaline_Phosphatase__prev2,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 2 value,no token when unavailable,f__Alkaline_Phosphatase__prev2,t__Alkaline_Phosphatase__prev2,14508
Alkaline_Phosphatase__prev3,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,previous same-admission 3 value,no token when unavailable,f__Alkaline_Phosphatase__prev3,t__Alkaline_Phosphatase__prev3,10063
Alkaline_Phosphatase__prior_count,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,number of earlier finalized same-lab values in admission,no token when unavailable,f__Alkaline_Phosphatase__prior_count,t__Alkaline_Phosphatase__prior_count,24894
Alkaline_Phosphatase__slope_per_day,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,delta divided by elapsed days,no token when unavailable,f__Alkaline_Phosphatase__slope_per_day,t__Alkaline_Phosphatase__slope_per_day,14508
Alkaline_Phosphatase__std_24h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 24h,no token when unavailable,f__Alkaline_Phosphatase__std_24h,t__Alkaline_Phosphatase__std_24h,73
Alkaline_Phosphatase__std_72h,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,std of prior same-lab values in 72h,no token when unavailable,f__Alkaline_Phosphatase__std_72h,t__Alkaline_Phosphatase__std_72h,9773
Amylase__delta,lab_history,labs_with_Measurements.csv,resultdate < target orderdate,latest previous minus second latest previous,no token when unavailable,f__Amylase__delta,t__Amylase__delta,1297
