Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
CPK,--,0.99,5,1,0.24,0.16,0.0258,0.1136,0.7318,22.3,0.1661,30.9
CRP,--,0.5,0,0,0.0,0.0,0.0082,0.01,0.6506,4.7,0.1421,81.8
CRP,--,0.625,0,0,0.0,0.0,0.0082,0.01,0.6506,4.7,0.1421,81.8
CRP,--,0.75,0,0,0.0,0.0,0.0082,0.01,0.6506,4.7,0.1421,81.8
CRP,--,0.85,0,0,0.0,0.0,0.0082,0.01,0.6506,4.7,0.1421,81.8
CRP,--,0.875,0,0,0.0,0.0,0.0082,0.01,0.6506,4.7,0.1421,81.8
CRP,--,0.99,0,0,0.0,0.0,0.0082,0.01,0.6506,4.7,0.1421,81.8
Calcium,--,0.5,4759,930,96.75,90.29,0.0324,0.1597,0.6426,5.7,0.1561,20.9
Calcium,--,0.625,4752,926,96.61,89.9,0.0324,0.1597,0.6426,5.7,0.1561,20.9
Calcium,--,0.75,3987,668,81.05,64.85,0.0324,0.1597,0.6426,5.7,0.1561,20.9
Calcium,--,0.85,3066,469,62.33,45.53,0.0324,0.1597,0.6426,5.7,0.1561,20.9
Calcium,--,0.875,16,1,0.33,0.1,0.0324,0.1597,0.6426,5.7,0.1561,20.9
Calcium,--,0.99,10,0,0.2,0.0,0.0324,0.1597,0.6426,5.7,0.1561,20.9
Calcium_ionized,--,0.5,431,123,91.51,80.39,0.0493,0.5123,0.6033,5.5,0.2071,32.5
Calcium_ionized,--,0.625,385,109,81.74,71.24,0.0493,0.5123,0.6033,5.5,0.2071,32.5
Calcium_ionized,--,0.75,153,39,32.48,25.49,0.0493,0.5123,0.6033,5.5,0.2071,32.5
Calcium_ionized,--,0.85,15,4,3.18,2.61,0.0493,0.5123,0.6033,5.5,0.2071,32.5
Calcium_ionized,--,0.875,15,4,3.18,2.61,0.0493,0.5123,0.6033,5.5,0.2071,32.5
Calcium_ionized,--,0.99,1,0,0.21,0.0,0.0493,0.5123,0.6033,5.5,0.2071,32.5
Carboxyhemoglobin,--,0.5,276,143,58.11,52.57,0.0817,0.4167,0.5647,-1.3,0.2479,57.3
Carboxyhemoglobin,--,0.625,4,3,0.84,1.1,0.0817,0.4167,0.5647,-1.3,0.2479,57.3
Carboxyhemoglobin,--,0.75,0,0,0.0,0.0,0.0817,0.4167,0.5647,-1.3,0.2479,57.3
