Lab,Sex,Threshold,Saved,FN,Saved%,FNR%,ECE_wf,MCE_wf,AUC_wf,BSS%_wf,Brier_wf,Instability_%
Phosphorus,--,0.5,4747,763,96.11,88.31,0.0088,0.1154,0.6676,7.6,0.1333,17.5
Phosphorus,--,0.625,4595,703,93.04,81.37,0.0088,0.1154,0.6676,7.6,0.1333,17.5
Phosphorus,--,0.75,4204,585,85.12,67.71,0.0088,0.1154,0.6676,7.6,0.1333,17.5
Phosphorus,--,0.85,2421,261,49.02,30.21,0.0088,0.1154,0.6676,7.6,0.1333,17.5
Phosphorus,--,0.875,2421,261,49.02,30.21,0.0088,0.1154,0.6676,7.6,0.1333,17.5
Phosphorus,--,0.99,1,0,0.02,0.0,0.0088,0.1154,0.6676,7.6,0.1333,17.5
Potassium,--,0.5,4546,1017,91.89,77.87,0.015,0.3125,0.6938,13.6,0.1678,26.4
Potassium,--,0.625,4213,854,85.16,65.39,0.015,0.3125,0.6938,13.6,0.1678,26.4
Potassium,--,0.75,3515,640,71.05,49.0,0.015,0.3125,0.6938,13.6,0.1678,26.4
Potassium,--,0.85,1100,166,22.24,12.71,0.015,0.3125,0.6938,13.6,0.1678,26.4
Potassium,--,0.875,172,25,3.48,1.91,0.015,0.3125,0.6938,13.6,0.1678,26.4
Potassium,--,0.99,16,5,0.32,0.38,0.015,0.3125,0.6938,13.6,0.1678,26.4
Protein_total,--,0.5,3827,1268,77.53,64.96,0.0125,0.0581,0.6756,9.2,0.217,39.5
Protein_total,--,0.625,2533,678,51.32,34.73,0.0125,0.0581,0.6756,9.2,0.217,39.5
Protein_total,--,0.75,248,57,5.02,2.92,0.0125,0.0581,0.6756,9.2,0.217,39.5
Protein_total,--,0.85,1,0,0.02,0.0,0.0125,0.0581,0.6756,9.2,0.217,39.5
Protein_total,--,0.875,1,0,0.02,0.0,0.0125,0.0581,0.6756,9.2,0.217,39.5
Protein_total,--,0.99,0,0,0.0,0.0,0.0125,0.0581,0.6756,9.2,0.217,39.5
RBC,--,0.5,42,20,3.19,2.51,0.0176,0.3587,0.5716,1.3,0.236,60.4
RBC,--,0.625,0,0,0.0,0.0,0.0176,0.3587,0.5716,1.3,0.236,60.4
RBC,--,0.75,0,0,0.0,0.0,0.0176,0.3587,0.5716,1.3,0.236,60.4
RBC,--,0.85,0,0,0.0,0.0,0.0176,0.3587,0.5716,1.3,0.236,60.4
RBC,--,0.875,0,0,0.0,0.0,0.0176,0.3587,0.5716,1.3,0.236,60.4
RBC,--,0.99,0,0,0.0,0.0,0.0176,0.3587,0.5716,1.3,0.236,60.4
RDW,--,0.5,1325,221,100.0,100.0,0.0688,0.1914,0.6942,2.7,0.1352,16.7
RDW,--,0.625,1325,221,100.0,100.0,0.0688,0.1914,0.6942,2.7,0.1352,16.7
RDW,--,0.75,1325,221,100.0,100.0,0.0688,0.1914,0.6942,2.7,0.1352,16.7
RDW,--,0.85,989,112,74.64,50.68,0.0688,0.1914,0.6942,2.7,0.1352,16.7
RDW,--,0.875,989,112,74.64,50.68,0.0688,0.1914,0.6942,2.7,0.1352,16.7
RDW,--,0.99,7,0,0.53,0.0,0.0688,0.1914,0.6942,2.7,0.1352,16.7
Reticulo_abs,--,0.5,63,18,95.45,100.0,0.1284,0.8,0.5764,-11.1,0.2203,27.3
Reticulo_abs,--,0.625,63,18,95.45,100.0,0.1284,0.8,0.5764,-11.1,0.2203,27.3
Reticulo_abs,--,0.75,20,3,30.3,16.67,0.1284,0.8,0.5764,-11.1,0.2203,27.3
Reticulo_abs,--,0.85,6,1,9.09,5.56,0.1284,0.8,0.5764,-11.1,0.2203,27.3
Reticulo_abs,--,0.875,6,1,9.09,5.56,0.1284,0.8,0.5764,-11.1,0.2203,27.3
Reticulo_abs,--,0.99,6,1,9.09,5.56,0.1284,0.8,0.5764,-11.1,0.2203,27.3
Sodium,--,0.5,4060,1390,81.66,72.21,0.0154,0.3163,0.6142,4.8,0.2258,38.7
Sodium,--,0.625,3175,1025,63.86,53.25,0.0154,0.3163,0.6142,4.8,0.2258,38.7
Sodium,--,0.75,17,8,0.34,0.42,0.0154,0.3163,0.6142,4.8,0.2258,38.7
Sodium,--,0.85,16,7,0.32,0.36,0.0154,0.3163,0.6142,4.8,0.2258,38.7
Sodium,--,0.875,16,7,0.32,0.36,0.0154,0.3163,0.6142,4.8,0.2258,38.7
Sodium,--,0.99,0,0,0.0,0.0,0.0154,0.3163,0.6142,4.8,0.2258,38.7
Specific_gravity,--,0.5,0,0,0.0,0.0,0.5553,0.5727,0.5185,-160.8,0.489,25.0
Specific_gravity,--,0.625,0,0,0.0,0.0,0.5553,0.5727,0.5185,-160.8,0.489,25.0
Specific_gravity,--,0.75,0,0,0.0,0.0,0.5553,0.5727,0.5185,-160.8,0.489,25.0
Specific_gravity,--,0.85,0,0,0.0,0.0,0.5553,0.5727,0.5185,-160.8,0.489,25.0
Specific_gravity,--,0.875,0,0,0.0,0.0,0.5553,0.5727,0.5185,-160.8,0.489,25.0
Specific_gravity,--,0.99,0,0,0.0,0.0,0.5553,0.5727,0.5185,-160.8,0.489,25.0
TSH,--,0.5,119,49,79.33,70.0,0.1167,0.8287,0.6946,5.1,0.2362,46.7
TSH,--,0.625,63,17,42.0,24.29,0.1167,0.8287,0.6946,5.1,0.2362,46.7
TSH,--,0.75,56,15,37.33,21.43,0.1167,0.8287,0.6946,5.1,0.2362,46.7
TSH,--,0.85,6,1,4.0,1.43,0.1167,0.8287,0.6946,5.1,0.2362,46.7
TSH,--,0.875,6,1,4.0,1.43,0.1167,0.8287,0.6946,5.1,0.2362,46.7
TSH,--,0.99,6,1,4.0,1.43,0.1167,0.8287,0.6946,5.1,0.2362,46.7
Transferrin,--,0.5,34,10,100.0,100.0,0.0527,0.1667,0.6875,7.1,0.1928,29.4
Transferrin,--,0.625,32,9,94.12,90.0,0.0527,0.1667,0.6875,7.1,0.1928,29.4
Transferrin,--,0.75,24,5,70.59,50.0,0.0527,0.1667,0.6875,7.1,0.1928,29.4
Transferrin,--,0.85,9,1,26.47,10.0,0.0527,0.1667,0.6875,7.1,0.1928,29.4
Transferrin,--,0.875,0,0,0.0,0.0,0.0527,0.1667,0.6875,7.1,0.1928,29.4
Transferrin,--,0.99,0,0,0.0,0.0,0.0527,0.1667,0.6875,7.1,0.1928,29.4
Triglycerides,--,0.5,59,13,95.16,86.67,0.0372,0.4444,0.6149,3.8,0.1764,24.2
Triglycerides,--,0.625,57,13,91.94,86.67,0.0372,0.4444,0.6149,3.8,0.1764,24.2
Triglycerides,--,0.75,17,2,27.42,13.33,0.0372,0.4444,0.6149,3.8,0.1764,24.2
Triglycerides,--,0.85,1,0,1.61,0.0,0.0372,0.4444,0.6149,3.8,0.1764,24.2
Triglycerides,--,0.875,1,0,1.61,0.0,0.0372,0.4444,0.6149,3.8,0.1764,24.2
Triglycerides,--,0.99,1,0,1.61,0.0,0.0372,0.4444,0.6149,3.8,0.1764,24.2
Troponin_I_HS,--,0.5,0,0,0.0,0.0,0.0232,0.1282,0.5757,2.6,0.2301,61.7
Troponin_I_HS,--,0.625,0,0,0.0,0.0,0.0232,0.1282,0.5757,2.6,0.2301,61.7
Troponin_I_HS,--,0.75,0,0,0.0,0.0,0.0232,0.1282,0.5757,2.6,0.2301,61.7
Troponin_I_HS,--,0.85,0,0,0.0,0.0,0.0232,0.1282,0.5757,2.6,0.2301,61.7
Troponin_I_HS,--,0.875,0,0,0.0,0.0,0.0232,0.1282,0.5757,2.6,0.2301,61.7
Troponin_I_HS,--,0.99,0,0,0.0,0.0,0.0232,0.1282,0.5757,2.6,0.2301,61.7
Urea,--,0.5,0,0,0.0,0.0,0.0161,0.1131,0.5857,1.8,0.1652,78.6
Urea,--,0.625,0,0,0.0,0.0,0.0161,0.1131,0.5857,1.8,0.1652,78.6
Urea,--,0.75,0,0,0.0,0.0,0.0161,0.1131,0.5857,1.8,0.1652,78.6
Urea,--,0.85,0,0,0.0,0.0,0.0161,0.1131,0.5857,1.8,0.1652,78.6
Urea,--,0.875,0,0,0.0,0.0,0.0161,0.1131,0.5857,1.8,0.1652,78.6
Urea,--,0.99,0,0,0.0,0.0,0.0161,0.1131,0.5857,1.8,0.1652,78.6
Uric_acid,--,0.5,4694,896,96.74,91.8,0.0086,0.1876,0.5946,3.9,0.1545,20.1
Uric_acid,--,0.625,4510,822,92.95,84.22,0.0086,0.1876,0.5946,3.9,0.1545,20.1
Uric_acid,--,0.75,3799,630,78.3,64.55,0.0086,0.1876,0.5946,3.9,0.1545,20.1
Uric_acid,--,0.85,34,9,0.7,0.92,0.0086,0.1876,0.5946,3.9,0.1545,20.1
Uric_acid,--,0.875,4,2,0.08,0.2,0.0086,0.1876,0.5946,3.9,0.1545,20.1
Uric_acid,--,0.99,0,0,0.0,0.0,0.0086,0.1876,0.5946,3.9,0.1545,20.1
Vitamin_B12,--,0.5,45,8,100.0,100.0,0.1213,0.238,0.4206,-11.4,0.1629,17.8
Vitamin_B12,--,0.625,45,8,100.0,100.0,0.1213,0.238,0.4206,-11.4,0.1629,17.8
Vitamin_B12,--,0.75,11,2,24.44,25.0,0.1213,0.238,0.4206,-11.4,0.1629,17.8
Vitamin_B12,--,0.85,10,2,22.22,25.0,0.1213,0.238,0.4206,-11.4,0.1629,17.8
Vitamin_B12,--,0.875,4,1,8.89,12.5,0.1213,0.238,0.4206,-11.4,0.1629,17.8
Vitamin_B12,--,0.99,3,1,6.67,12.5,0.1213,0.238,0.4206,-11.4,0.1629,17.8
WBC,--,0.5,1050,342,80.4,67.19,0.0428,0.1173,0.676,9.8,0.2146,39.0
WBC,--,0.625,931,285,71.29,55.99,0.0428,0.1173,0.676,9.8,0.2146,39.0
WBC,--,0.75,31,4,2.37,0.79,0.0428,0.1173,0.676,9.8,0.2146,39.0
WBC,--,0.85,3,0,0.23,0.0,0.0428,0.1173,0.676,9.8,0.2146,39.0
WBC,--,0.875,3,0,0.23,0.0,0.0428,0.1173,0.676,9.8,0.2146,39.0
WBC,--,0.99,3,0,0.23,0.0,0.0428,0.1173,0.676,9.8,0.2146,39.0
pCO2,--,0.5,18,16,1.93,2.4,0.0318,0.3889,0.5158,-1.2,0.2061,71.5
pCO2,--,0.625,0,0,0.0,0.0,0.0318,0.3889,0.5158,-1.2,0.2061,71.5
pCO2,--,0.75,0,0,0.0,0.0,0.0318,0.3889,0.5158,-1.2,0.2061,71.5
pCO2,--,0.85,0,0,0.0,0.0,0.0318,0.3889,0.5158,-1.2,0.2061,71.5
pCO2,--,0.875,0,0,0.0,0.0,0.0318,0.3889,0.5158,-1.2,0.2061,71.5
pCO2,--,0.99,0,0,0.0,0.0,0.0318,0.3889,0.5158,-1.2,0.2061,71.5
pH,--,0.5,0,0,0.0,0.0,0.0353,0.1089,0.5589,2.2,0.2174,66.6
pH,--,0.625,0,0,0.0,0.0,0.0353,0.1089,0.5589,2.2,0.2174,66.6
pH,--,0.75,0,0,0.0,0.0,0.0353,0.1089,0.5589,2.2,0.2174,66.6
pH,--,0.85,0,0,0.0,0.0,0.0353,0.1089,0.5589,2.2,0.2174,66.6
pH,--,0.875,0,0,0.0,0.0,0.0353,0.1089,0.5589,2.2,0.2174,66.6
pH,--,0.99,0,0,0.0,0.0,0.0353,0.1089,0.5589,2.2,0.2174,66.6
pO2,--,0.5,0,0,0.0,0.0,0.0532,0.0944,0.6097,3.8,0.1675,77.5
pO2,--,0.625,0,0,0.0,0.0,0.0532,0.0944,0.6097,3.8,0.1675,77.5
pO2,--,0.75,0,0,0.0,0.0,0.0532,0.0944,0.6097,3.8,0.1675,77.5
pO2,--,0.85,0,0,0.0,0.0,0.0532,0.0944,0.6097,3.8,0.1675,77.5
pO2,--,0.875,0,0,0.0,0.0,0.0532,0.0944,0.6097,3.8,0.1675,77.5
pO2,--,0.99,0,0,0.0,0.0,0.0532,0.0944,0.6097,3.8,0.1675,77.5
